"Events / Unique users","utm_campaign","utm_id","Average","1 Mar 2026","2 Mar 2026","3 Mar 2026","4 Mar 2026","5 Mar 2026","6 Mar 2026","7 Mar 2026","8 Mar 2026","9 Mar 2026","10 Mar 2026","11 Mar 2026","12 Mar 2026","13 Mar 2026","14 Mar 2026","15 Mar 2026","16 Mar 2026","17 Mar 2026","18 Mar 2026","19 Mar 2026","20 Mar 2026","21 Mar 2026","22 Mar 2026","23 Mar 2026","24 Mar 2026","25 Mar 2026","26 Mar 2026","27 Mar 2026","28 Mar 2026","29 Mar 2026","30 Mar 2026","31 Mar 2026","1 Apr 2026","2 Apr 2026","3 Apr 2026","4 Apr 2026","5 Apr 2026","6 Apr 2026","7 Apr 2026","8 Apr 2026","9 Apr 2026","10 Apr 2026","11 Apr 2026","12 Apr 2026","13 Apr 2026","14 Apr 2026","15 Apr 2026","16 Apr 2026","17 Apr 2026","18 Apr 2026","19 Apr 2026","20 Apr 2026","21 Apr 2026","22 Apr 2026","23 Apr 2026","24 Apr 2026","25 Apr 2026","26 Apr 2026","27 Apr 2026","28 Apr 2026","29 Apr 2026"
"page_view","new_pdp","--","12.45","73","32","33","69","87","82","80","63","61","48","46","13","7","3","6","1","2","3","3","2","1","0","4","1","0","1","0","1","0","6","1","1","1","2","2","0","3","1","0","1","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Videos_3_9Oct","120244095549600111","3.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","3","1","0","0","0","5","3","0","0","0","0","21","10","12","49","20","9","19","12","11","8","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","WA_GRP_29NOV_M2_499_Sale","GROUP","1.07","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","2","1","0","1","1","1","0"
"page_view","DPA_Internal","120242946968890111","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","AS","1810_WA_OB_AS_first","0.72","1","0","1","1","0","0","0","1","1","0","0","1","1","0","1","0","0","1","0","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","2","1","0","1","0","1","1","1","1","0"
"page_view","332400_69a7216dc8327c03e161c6f4","admitad","0.02","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","Advantage_Lightning_Sale_20Sep","120234220355630111","0.2","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"page_view","AS","1802_reactivation_OB_1","0.1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","Remarketing_Product_Ads","PN_festive","0.03","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","306480_NEWUSER","admitad","1.52","1","11","4","0","1","1","2","1","0","2","3","3","0","1","1","2","2","2","1","0","0","3","0","1","2","2","3","1","1","0","1","1","0","3","0","0","0","0","2","1","1","1","1","1","0","4","0","1","2","1","1","2","3","2","0","1","2","9","0","0"
"page_view","Repeat_>1_order_180D","120237753540630111","258.47","94","236","167","88","84","49","41","1","74","64","49","95","116","96","235","186","358","452","244","333","315","203","189","332","342","423","296","302","490","568","1239","1154","617","700","420","472","339","326","275","239","217","223","206","311","402","272","258","135","76","225","260","182","232","27","79","12","73","7","8","0"
"page_view","TOF_Bulk_Lookalike+Targeting","120203979236850111","32737.88","50507","80135","47810","57843","58426","58454","56648","61633","53075","64727","26594","72443","53267","49070","57209","37920","49378","42541","36116","34903","37511","39513","32005","31167","34354","34175","30787","32178","36630","39392","42166","28103","18834","19134","17100","20758","23473","20101","17053","16538","15988","16413","17464","13257","15265","17006","17292","16906","16485","18363","18220","17540","14847","12880","17907","13689","16769","47949","14321","6041"
"page_view","Advantage++shopping+campaign_Videos_Bulk_30_Jan","120235219600440111","15.35","2","0","0","0","0","5","0","42","20","13","4","13","13","0","7","10","8","18","16","16","3","0","16","26","20","21","19","27","29","58","50","102","46","44","37","31","14","26","15","19","42","7","12","12","13","11","20","5","0","0","9","0","0","0","0","0","0","0","0","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Jan","120240147644210111","14.47","69","70","84","99","59","44","2","34","62","46","30","47","59","56","32","50","20","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"page_view","steal_deals","1510_reactivation_OB_1","0.8","0","2","0","1","1","2","1","2","0","4","1","0","1","0","1","0","2","1","1","2","2","0","0","0","0","2","0","0","0","1","1","1","0","0","1","1","0","0","2","0","2","2","1","2","3","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0"
"page_view","HoliSale_2Mar_7pm","OB","63.37","0","1511","1114","181","101","88","65","48","25","47","101","52","37","47","26","20","18","24","22","18","14","13","7","6","7","3","10","8","12","6","5","1","1","4","4","7","4","1","1","2","4","4","2","4","14","8","4","1","2","3","3","2","2","5","5","5","1","63","9","0"
"page_view","Star Panel","120243789485980111","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"page_view","AS","WA_OB_AS_9jan_0_90_4msg_M1","7.45","24","35","12","11","5","35","18","12","4","4","24","41","23","28","11","5","7","3","14","3","6","1","16","19","10","13","5","4","5","3","3","0","1","1","1","3","2","0","3","0","1","2","1","6","2","3","1","1","1","0","2","1","1","2","1","0","3","2","2","0"
"page_view","(EMPTY)","120241148968190111","0.68","0","2","3","0","0","1","0","0","1","0","0","0","0","0","2","1","0","0","0","1","0","1","0","2","1","1","0","2","0","2","1","1","1","3","1","1","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","3","2","0","1","1","0","0","0"
"page_view","BOGO_30Mar_2","RCS_1","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","AS","WA_OB_AS_3110_M0","0.45","0","0","1","0","1","0","0","0","0","2","1","1","1","1","0","0","0","2","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","1","0","1","1","0","1","2","0","1","0","0","0","1","2","1","0","0","0","0","0","0","1","0","0"
"page_view","3i9fgP6t6EzNfDmcA6f7AQ_p38537379","--","0.02","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","PMAX_Qscale_newstructure_09032026_qscale_low","PN_New Designs","0.03","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Videos_3_9Oct","120241924643330111","43.5","6","21","22","11","8","5","0","50","21","19","14","35","47","50","83","49","61","35","36","16","15","21","58","61","42","72","54","70","102","120","138","154","103","85","46","51","48","52","46","45","106","38","79","78","62","41","54","27","6","39","13","12","1","0","8","28","0","33","0","13"
"page_view","TOF_Bulk_Lookalike2_UGC_Videos_3_9Oct","120241724228220111","220.3","463","319","468","212","363","357","38","231","417","566","207","578","631","656","688","462","692","281","161","116","136","162","141","90","120","157","263","234","250","299","674","565","449","185","74","65","63","106","106","134","110","91","59","35","61","85","86","56","23","68","102","75","15","1","17","0","1","49","2","103"
